x,Safari,Firefox,Chrome,Edge
1,4.115,3.636,1.706,1.623
2,4.255,4.016,1.761,1.431
3,4.255,4.566,1.812,1.497
4,4.348,4.348,1.799,1.458
5,4.292,4.255,1.802,1.653
6,4.049,4.310,1.706,1.661
7,4.219,4.587,1.795,1.645
8,4.202,4.525,1.783,1.653
9,4.202,4.545,1.724,1.704
10,3.831,4.545,1.748,1.667
11,4.255,4.566,1.770,1.616
12,4.255,4.237,1.802,1.513
13,4.237,4.348,1.808,1.563
14,4.219,4.525,1.727,1.629
15,4.219,4.292,1.835,1.642
16,3.623,4.367,1.808,1.585
17,4.237,4.505,1.757,1.721
18,4.255,4.348,1.664,1.623
19,4.255,4.405,1.792,1.802
20,3.436,4.630,1.835,1.718
21,4.115,4.505,1.789,1.698
22,4.132,4.651,1.733,1.715
23,4.149,4.587,1.767,1.745
24,4.237,4.545,1.776,1.748
25,4.202,4.651,1.748,1.664
26,3.953,4.651,1.736,1.733
27,4.219,4.587,1.786,1.695
28,4.167,4.608,1.802,1.767
29,3.846,4.587,1.786,1.706
30,4.292,4.566,1.789,1.684
