x,Safari,Firefox,Chrome,Edge
1,11.765,1.018,3.003,3.049
2,10.000,1.002,3.040,3.030
3,9.804,0.978,2.976,3.115
4,11.628,1.013,3.003,3.049
5,11.905,1.013,3.003,3.012
6,11.494,0.995,3.003,3.040
7,11.494,0.996,2.967,3.030
8,11.628,1.017,3.012,3.067
9,11.765,1.018,3.012,3.086
10,11.628,1.010,3.021,3.058
11,11.765,1.002,3.030,3.003
12,11.628,1.010,2.994,2.985
13,11.628,1.016,3.012,3.021
14,11.905,1.017,3.049,3.096
15,11.364,1.017,3.086,3.067
16,11.628,1.010,2.976,3.012
17,11.628,1.018,2.994,3.058
18,11.628,0.983,3.012,3.030
19,11.494,1.018,2.985,3.021
20,11.628,1.013,3.021,3.135
21,11.494,1.013,3.030,3.058
22,11.905,0.976,3.049,3.096
23,11.905,1.018,2.994,3.030
24,11.628,0.982,3.003,3.040
25,11.905,1.011,3.021,3.003
26,11.628,1.013,2.994,3.058
27,11.905,1.018,2.985,3.021
28,11.628,1.013,3.003,3.115
29,11.628,1.015,3.012,3.049
30,11.905,1.009,2.976,3.058
