x,Safari,Firefox,Chrome,Edge
1,3.968,2.770,2.710,2.646
2,3.968,2.732,2.571,2.571
3,4.000,2.747,2.660,2.591
4,3.876,2.762,2.488,2.532
5,3.922,2.747,2.625,2.513
6,4.032,2.778,2.717,2.591
7,3.937,2.740,2.506,2.681
8,3.922,2.755,2.538,2.519
9,3.953,2.732,2.703,2.500
10,3.817,2.740,2.632,2.538
11,3.906,2.762,2.688,2.532
12,4.000,2.740,2.646,2.755
13,3.968,2.755,2.591,2.653
14,4.032,2.710,2.667,2.618
15,4.000,2.740,2.475,2.506
16,3.922,2.740,2.532,2.710
17,3.817,2.740,2.639,2.591
18,3.953,2.747,2.571,2.625
19,3.953,2.740,2.551,2.513
20,4.016,2.770,2.558,2.639
21,3.937,2.747,2.545,2.604
22,3.846,2.717,2.558,2.639
23,3.968,2.755,2.604,2.646
24,3.937,2.755,2.545,2.538
25,3.906,2.762,2.688,2.667
26,3.968,2.747,2.525,2.632
27,3.891,2.762,2.625,2.653
28,3.937,2.747,2.703,2.506
29,3.906,2.762,2.625,2.577
30,3.891,2.778,2.551,2.674
