x,Safari,Firefox,Chrome,Edge
1,1.484,1.147,3.717,3.817
2,1.468,1.148,3.817,3.817
3,1.484,1.147,3.788,3.817
4,1.493,1.140,3.861,3.802
5,1.468,1.142,3.876,3.831
6,1.466,1.147,3.876,3.788
7,1.495,1.171,3.759,3.802
8,1.401,1.171,3.876,3.876
9,1.397,1.149,3.891,3.802
10,1.391,1.134,3.861,3.788
11,1.399,1.149,3.891,3.831
12,1.359,1.130,3.802,3.802
13,1.383,1.138,3.817,3.817
14,1.404,1.147,3.717,3.831
15,1.408,1.148,3.876,3.745
16,1.397,1.156,3.861,3.788
17,1.391,1.143,3.846,3.802
18,1.403,1.142,3.861,3.802
19,1.397,1.148,3.774,3.802
20,1.401,1.149,3.846,3.817
21,1.403,1.139,3.846,3.817
22,1.387,1.147,3.876,3.774
23,1.379,1.144,3.876,3.774
24,1.385,1.151,3.846,3.802
25,1.389,1.144,3.788,3.802
26,1.433,1.142,3.774,3.846
27,1.401,1.149,3.731,3.802
28,1.397,1.148,3.745,3.774
29,1.406,1.152,3.774,3.788
30,1.362,1.149,3.906,3.891
